id,sku,title,vendor,product_type,super_category,primary_category,product_category_type,collection_name,colour_finish,material,grade_of_material,style,installation_type,application_location,handle_type,handle_count,product_range,overall_width_mm,overall_depth_mm,overall_height_mm,overall_length_mm,weight_kg,flow_rate_lpm,water_pressure_min_kpa,water_pressure_max_kpa,tap_hole_size_mm,wels_rating,is_lead_free,lead_free_compliance,warranty_years,warranty_url,product_url
2829,9010BR,"Armando Vicario Provincial Basin Mixer – Bronze - 9010BR","Armando Vicario",,Tapware,"Basin Tapware","Basin Mixer",,Bronze,,,Traditional,"Hob Mounted",Bathroom,"Single Lever",1,Provincial,,,,,,7.5,,,,4,0,,15,https://www.abey.com.au/warranty/,
2830,9010BN,"Armando Vicario Provincial Basin Mixer – Brushed Nickel - 9010BN","Armando Vicario",,Tapware,"Basin Tapware","Basin Mixer",,"Brushed Nickel",,,Traditional,"Hob Mounted",Bathroom,"Single Lever",1,Provincial,,,,,,7.5,,,,4,0,,15,https://www.abey.com.au/warranty/,
2855,2150C,"Armando Vicario Provincial Single Lever Basin Mixer - Chrome - 2150C","Armando Vicario",,Tapware,"Basin Tapware","Basin Mixer",Provincial,Chrome,"Solid Brass",,,"Hob Mounted",,,,,154,142,305,,2.1,9.0,150,500,35,6,0,,15,https://www.abey.com.au/warranty/,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/provincial-single-lever-basin-mixer/
2867,2200C,"Armando Vicario Provincial Top Assemblies - Chrome - 2200C","Armando Vicario",,Tapware,"Basin Tapware","Basin Mixer",Provincial,Chrome,,,,"Hob Mounted",,,,,150,150,100,,,,,,35,,0,,15,https://www.abey.com.au/warranty/,https://www.abey.com.au/product/tapware/bathroom-three-piece-tapware/provincial-top-assemblies/
4180,16516000,"Axor Montreux Basin Mixer with Lever Handle - Chrome 16516000",Axor,,Tapware,"Basin Tapware","Basin Mixer",,Chrome,,,,"Hob Mounted",,,,,,,,,,,,,,5,0,,5,,
5971,1.9702.00.3.01,"Brodware City Plus Basin Mixer B Lever - Chrome - 1.9702.00.3.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Plus",Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/city-plus-basin-mixer-5/
5972,1.9702.02.3.01,"Brodware City Plus Basin Mixer B Lever - Chrome - 1.9702.02.3.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Plus",Chrome,"Solid Brass",,,"Hob Mounted",,,,,78,160,114,,2.2,9.0,150,500,1,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/city-plus-basin-mixer-6/
5973,1.9703.00.3.01,"Brodware City Plus Basin Mixer B Lever - Chrome - 1.9703.00.3.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Plus",Chrome,"Solid Brass",,,"Hob Mounted",,,,,168,148,134,,2.3,9.0,150,500,35,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/city-plus-basin-mixer-4/
5974,1.9702.02.7.01,"Brodware City Plus Basin Mixer D Lever - Chrome - 1.9702.02.7.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Plus",Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/brolife-plus-basin-mixer-5/
5998,1.9704.00.2.01,"Brodware City Plus Swivel Basin Tap Cross Handle - Chrome - 1.9704.00.2.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Plus",Chrome,"Solid Brass",,,"Hob Mounted",,,,,60,125,195,,1.1,9.0,150,500,35,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/city-plus-basin-mixer-set/
6018,1.9803.00.0.41,"Brodware City Que Basin Mixer - Brushed Nickel PVD - 1.9803.00.0.41",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Que","PVD Brushed Nickel","Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/city-plus-basin-mixer-6/
6019,1.9802.00.0.01,"Brodware City Que Basin Mixer - Chrome - 1.9802.00.0.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Que",Chrome,"Solid Brass",,,"Hob Mounted",,,,,160,140,120,,1.8,7.5,150,500,35,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/city-que-basin-mixer-5/
6020,1.9803.00.0.01,"Brodware City Que Basin Mixer - Chrome - 1.9803.00.0.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Que",Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/city-que-basin-mixer-4/
6031,1.9900.06.0.01,"Brodware City Stik Basin Mixer - Chrome - 1.9900.06.0.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Stik",Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/city-stik-basin-mixer-set/
6032,1.9903.00.0.01,"Brodware City Stik Basin Mixer - Chrome - 1.9903.00.0.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Stik",Chrome,"Solid Brass",,,"Hob Mounted",,,,,140,140,170,,3.5,7.5,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/city-stik-basin-mixer-3/
6034,1.9902.30.0.01,"Brodware City Stik Basin Mixer Extended Lever - Chrome - 1.9902.30.0.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Stik",Chrome,"Solid Brass",,,"Hob Mounted",,,,,100,160,270,,1.78,9.0,150,500,35,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/brolife-stik-basin-mixer-4/
6035,1.9902.02.0.01,"Brodware City Stik Basin Mixer Metal Lever - Chrome - 1.9902.02.0.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","City Stik",Chrome,"Solid Brass",,,"Hob Mounted",,,,,120,115,215,,1.8,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/city-stik-basin-mixer/
6127,1.9500.96.6.01,"Brodware Halo Marble Basin Mixer - Chrome - 1.9500.96.6.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer",Halo,Chrome,"Solid Brass",,,"Hob Mounted",,,,,96,163,138,,1.9,7.5,150,500,35,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/the_product_type/basin-mixer-hob-mount/
6128,1.9500.97.6.01,"Brodware Halo Marble Basin Mixer - Chrome - 1.9500.97.6.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer",Halo,Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/the_product_type/basin-mixer-set-hob-mount/
6209,1.6716.08.2.01,"Brodware Industrica Bar Tap Cross Handles - Chrome - 1.6716.08.2.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer",Industrica,Chrome,"Solid Brass",,,"Wall Mounted",,,,,116,158,307,,4.5,,,,,,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/industrica-bar-tap/
6254,1.9103.00.0.01,"Brodware Manhattan Basin Mixer - Chrome - 1.9103.00.0.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer",Manhattan,Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/manhattan-basin-mixer-3/
6277,1.8902.02.0.01,"Brodware Michelangelo Basin Mixer - Chrome - 1.8902.02.0.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer",Michelangelo,Chrome,"Solid Brass",,,"Hob Mounted",,,,,140,150,315,,2.2,9.0,150,500,35,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/michelangelo-basin-mixer/
